B40,FCV,IDA,Number of Records,B40_T60,T60,code,Countryname,Datetime,Filename,incomegroup,Maxyear,nWLD,Np190,Np320,Np550,P190,P320,P550,Precase,Region,Survname,Welftype,Year
0.5779687,0,0,1,1.369492500,0.4220313,AGO,Angola,24may2020 10:18:14,AGO_2018_IDREA_V01_M_V01_A_GMD_ALL.DTA,Lower-middle income,2018,1,0.294441,0.1200812,0.0397868,0.705559,0.8799188,0.9602132,EDU: no eduation,SSA,IDREA,CONS,2018
0.241871,0,0,1,0.319036734,0.758129,AGO,Angola,24may2020 10:18:14,AGO_2018_IDREA_V01_M_V01_A_GMD_ALL.DTA,Lower-middle income,2018,1,0.6396053,0.3820126,0.1605741,0.3603947,0.6179875,0.8394259,RUR:       urban,SSA,IDREA,CONS,2018
0.1906606,0,0,1,0.235575582,0.8093394,AGO,Angola,24may2020 10:18:14,AGO_2018_IDREA_V01_M_V01_A_GMD_ALL.DTA,Lower-middle income,2018,1,0.7025999,0.4443632,0.1868492,0.2974001,0.5556368,0.8131508,EDU:   secondary,SSA,IDREA,CONS,2018
0.3489027,0,0,1,0.535868756,0.6510973,AGO,Angola,24may2020 10:18:14,AGO_2018_IDREA_V01_M_V01_A_GMD_ALL.DTA,Lower-middle income,2018,1,0.5119845,0.2822081,0.1292751,0.4880156,0.7177919,0.8707249,AGE:    above 64,SSA,IDREA,CONS,2018
0.4045556,0,0,1,0.679417927,0.5954444,AGO,Angola,24may2020 10:18:14,AGO_2018_IDREA_V01_M_V01_A_GMD_ALL.DTA,Lower-middle income,2018,1,0.4777231,0.2637974,0.1040989,0.5222769,0.7362026,0.8959011,GEN:      female,SSA,IDREA,CONS,2018
0.4791662,0,0,1,0.919998280,0.5208338,AGO,Angola,24may2020 10:18:14,AGO_2018_IDREA_V01_M_V01_A_GMD_ALL.DTA,Lower-middle income,2018,1,0.381158,0.1690576,0.0511895,0.6188419,0.8309424,0.9488105,EDU:     primary,SSA,IDREA,CONS,2018
0.4580916,0,0,1,0.845330318,0.5419084,AGO,Angola,24may2020 10:18:14,AGO_2018_IDREA_V01_M_V01_A_GMD_ALL.DTA,Lower-middle income,2018,1,0.4227947,0.2146587,0.0721126,0.5772053,0.7853413,0.9278874,AGE:      0 - 14,SSA,IDREA,CONS,2018
0.6454613,0,0,1,1.820566556,0.3545387,AGO,Angola,24may2020 10:18:14,AGO_2018_IDREA_V01_M_V01_A_GMD_ALL.DTA,Lower-middle income,2018,1,0.238337,0.0921437,0.0237987,0.761663,0.9078563,0.9762013,RUR:       rural,SSA,IDREA,CONS,2018
0.0287177,0,0,1,0.029566790,0.9712823,AGO,Angola,24may2020 10:18:14,AGO_2018_IDREA_V01_M_V01_A_GMD_ALL.DTA,Lower-middle income,2018,1,0.949858,0.8100894,0.5707359,0.0501421,0.1899106,0.429264,EDU:     teriary,SSA,IDREA,CONS,2018
0.3931784,0,0,1,0.647930792,0.6068216,AGO,Angola,24may2020 10:18:14,AGO_2018_IDREA_V01_M_V01_A_GMD_ALL.DTA,Lower-middle income,2018,1,0.4894003,0.2736221,0.1096192,0.5105997,0.7263779,0.8903809,GEN:        male,SSA,IDREA,CONS,2018
0.3391451,0,0,1,0.513191474,0.6608549,AGO,Angola,24may2020 10:18:14,AGO_2018_IDREA_V01_M_V01_A_GMD_ALL.DTA,Lower-middle income,2018,1,0.5460502,0.3249414,0.1423134,0.4539498,0.6750587,0.8576866,AGE:     15 - 64,SSA,IDREA,CONS,2018
0.395362,0,0,1,0.653882158,0.604638,ALB,Albania,24may2020 10:18:14,ALB_2017_HBS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2017,1,0.987774,0.9202834,0.6678146,0.012226,0.0797167,0.3321855,GEN:        male,ECA,HBS,CONS,2017
0.404736,0,0,1,0.679926775,0.5952641,ALB,Albania,24may2020 10:18:14,ALB_2017_HBS_V01_M_V01_A_GMD_ALL.DTA,Upper-middle income,2017,1,0.9868851,0.9158759,0.6567928,0.0131149,0.0841241,0.3432072,GEN:      female,ECA,HBS,CONS,2017
