countrycode,year,headcount,region,countryname,regionname
AGO,1991,0.29634,SSA,,
AGO,1992,0.32665,SSA,,
AGO,1993,0.46074,SSA,,
AGO,1994,0.46957,SSA,,
AGO,1995,0.42078,SSA,,
AGO,1996,0.38222,SSA,,
AGO,1997,0.36538,SSA,,
AGO,1998,0.35899,SSA,,
AGO,1999,0.36362,SSA,,
AGO,2000,0.36538,SSA,,
AGO,2001,0.38333,SSA,,
AGO,2002,0.36646,SSA,,
AGO,2003,0.39529,SSA,,
AGO,2004,0.39377,SSA,,
AGO,2005,0.37269,SSA,,
AGO,2006,0.36289,SSA,,
AGO,2007,0.344,SSA,,
AGO,2008,0.33236,SSA,,
AGO,2009,0.35921,SSA,,
AGO,2010,0.35928,SSA,,
AGO,2011,0.36916,SSA,,
AGO,2012,0.37193,SSA,,
AGO,2013,0.37852,SSA,,
AGO,2014,0.38595,SSA,,
AGO,2015,0.4085,SSA,,
AGO,2016,0.422,SSA,,
AGO,2017,0.45636,SSA,,
AGO,2018,0.51049,SSA,,
ALB,1991,0.05228,ECA,,
ALB,1992,0.07292,ECA,,
ALB,1993,0.04572,ECA,,
ALB,1994,0.03349,ECA,,
ALB,1995,0.01483,ECA,,
ALB,1996,0.00921,ECA,,
ALB,1997,0.05566,ECA,,
ALB,1998,0.04344,ECA,,
ALB,1999,0.01263,ECA,,
ALB,2000,0.01335,ECA,,
ALB,2001,0.01453,ECA,,
ALB,2002,0.01571,ECA,,
ALB,2003,0.01108,ECA,,
ALB,2004,0.00999,ECA,,
ALB,2005,0.00861,ECA,,
ALB,2006,0.00638,ECA,,
ALB,2007,0.00463,ECA,,
ALB,2008,0.00314,ECA,,
ALB,2009,0.00405,ECA,,
ALB,2010,0.00599,ECA,,
ALB,2011,0.00687,ECA,,
ALB,2012,0.0085,ECA,,
ALB,2013,0.01213,ECA,,
ALB,2014,0.01581,ECA,,
ALB,2015,0.01127,ECA,,
ALB,2016,0.00859,ECA,,
ALB,2017,0.01267,ECA,,
ALB,2018,0.01094,ECA,,
ARG,1991,0.01282,LAC,,
ARG,1992,0.02462,LAC,,
ARG,1993,0.02818,LAC,,
ARG,1994,0.02675,LAC,,
ARG,1995,0.04925,LAC,,
ARG,1996,0.05302,LAC,,
ARG,1997,0.04821,LAC,,
ARG,1998,0.05576,LAC,,
ARG,1999,0.05529,LAC,,
ARG,2000,0.06792,LAC,,
ARG,2001,0.1068,LAC,,
ARG,2002,0.16941,LAC,,
ARG,2003,0.08399,LAC,,
ARG,2004,0.06359,LAC,,
ARG,2005,0.04762,LAC,,
ARG,2006,0.03933,LAC,,
ARG,2007,0.03338,LAC,,
ARG,2008,0.03296,LAC,,
ARG,2009,0.02969,LAC,,
ARG,2010,0.02799,LAC,,
ARG,2011,0.01141,LAC,,
ARG,2012,0.01091,LAC,,
ARG,2013,0.01037,LAC,,
ARG,2014,0.00869,LAC,,
ARG,2015,0.00893,LAC,,
ARG,2016,0.01006,LAC,,
ARG,2017,0.00816,LAC,,
ARG,2018,0.01297,LAC,,
ARG,2029,0.0016125342090895778,LAC,Argentina,Latin America and the Caribbean
ARM,1991,0.05107,ECA,,
ARM,1992,0.20372,ECA,,
ARM,1993,0.23221,ECA,,
ARM,1994,0.20401,ECA,,
ARM,1995,0.16123,ECA,,
ARM,1996,0.14204,ECA,,
ARM,1997,0.11423,ECA,,
ARM,1998,0.12732,ECA,,
ARM,1999,0.12212,ECA,,
ARM,2000,0.13605,ECA,,
