region,countrycode,countryname,characteristic,incomegroup,year,share_b40,share_t60
SSA,AGO,Angola,EDU: no eduation,Lower-middle income,2018,0.5779687,0.4220313
SSA,AGO,Angola,RUR:       urban,Lower-middle income,2018,0.241871,0.758129
SSA,AGO,Angola,EDU:   secondary,Lower-middle income,2018,0.1906606,0.8093394
SSA,AGO,Angola,AGE:    above 64,Lower-middle income,2018,0.3489027,0.6510973
SSA,AGO,Angola,GEN:      female,Lower-middle income,2018,0.4045556,0.5954444
SSA,AGO,Angola,EDU:     primary,Lower-middle income,2018,0.4791662,0.5208338
SSA,AGO,Angola,AGE:      0 - 14,Lower-middle income,2018,0.4580916,0.5419084
SSA,AGO,Angola,RUR:       rural,Lower-middle income,2018,0.6454613,0.3545387
SSA,AGO,Angola,EDU:     teriary,Lower-middle income,2018,0.0287177,0.9712823
SSA,AGO,Angola,GEN:        male,Lower-middle income,2018,0.3931784,0.6068216
SSA,AGO,Angola,AGE:     15 - 64,Lower-middle income,2018,0.3391451,0.6608549
ECA,ALB,Albania,GEN:        male,Upper-middle income,2017,0.395362,0.604638
ECA,ALB,Albania,GEN:      female,Upper-middle income,2017,0.404736,0.5952641
ECA,ALB,Albania,AGE:    above 64,Upper-middle income,2017,0.3075058,0.6924942
ECA,ALB,Albania,AGE:     15 - 64,Upper-middle income,2017,0.3864018,0.6135982
ECA,ALB,Albania,EDU:   secondary,Upper-middle income,2017,0.3261335,0.6738666
ECA,ALB,Albania,RUR:       urban,Upper-middle income,2017,,
ECA,ALB,Albania,AGE:      0 - 14,Upper-middle income,2017,0.5193153,0.4806847
ECA,ALB,Albania,EDU:     teriary,Upper-middle income,2017,0.1557542,0.8442459
ECA,ALB,Albania,RUR:       rural,Upper-middle income,2017,,
ECA,ALB,Albania,EDU:     primary,Upper-middle income,2017,0.4809008,0.5190992
ECA,ALB,Albania,EDU: no eduation,Upper-middle income,2017,0.5694548,0.4305451
LAC,ARG,Argentina,AGE:    above 64,Upper-middle income,2018,0.1009725,0.8990275
LAC,ARG,Argentina,AGE:      0 - 14,Upper-middle income,2018,0.6181129,0.3818871
LAC,ARG,Argentina,GEN:      female,Upper-middle income,2018,0.401105,0.598895
LAC,ARG,Argentina,RUR:       rural,Upper-middle income,2018,,
LAC,ARG,Argentina,EDU: no eduation,Upper-middle income,2018,0.4294695,0.5705305
LAC,ARG,Argentina,EDU:     teriary,Upper-middle income,2018,0.1612755,0.8387245
LAC,ARG,Argentina,RUR:       urban,Upper-middle income,2018,0.3999943,0.6000057
LAC,ARG,Argentina,EDU:   secondary,Upper-middle income,2018,0.4099508,0.5900492
LAC,ARG,Argentina,EDU:     primary,Upper-middle income,2018,0.4464369,0.5535631
LAC,ARG,Argentina,GEN:        male,Upper-middle income,2018,0.3987875,0.6012126
LAC,ARG,Argentina,AGE:     15 - 64,Upper-middle income,2018,0.3856476,0.6143524
