countrycode,coveragetype,datatype,region,countryname,incomegroup,regionname,gini_2000,gini_2018,year_1,year_2,text,x,n
ALB,N,consumption,ECA,Albania,Upper middle income,Europe and Central Asia,0.29374659999999997,0.3317109,1999,2018,"County: Albania
Range: 1999-2018
Region: ECA
",1,1
ARG,U,income,LAC,Argentina,High income,Latin America and the Caribbean,0.4979204,0.4138425,1999,2018,"County: Argentina
Range: 1999-2018
Region: LAC
",1,1
ARM,N,consumption,ECA,Armenia,Upper middle income,Europe and Central Asia,0.3621972,0.344335,1999,2018,"County: Armenia
Range: 1999-2018
Region: ECA
",1,1
AUS,N,income,OHI,Australia,High income,Other High Income countries,0.3406077666666667,0.3439943,1999,2018,"County: Australia
Range: 1999-2018
Region: OHI
",1,1
AUT,N,income,OHI,Austria,High income,Other High Income countries,0.26825116666666665,0.2973758,1999,2018,"County: Austria
Range: 1999-2018
Region: OHI
",1,1
AZE,N,consumption,ECA,Azerbaijan,Upper middle income,Europe and Central Asia,0.2840187666666667,0.2655491,1999,2018,"County: Azerbaijan
Range: 1999-2018
Region: ECA
",1,1
BDI,N,consumption,SSA,Burundi,Low income,Sub-saharan Africa,0.352385736,0.3862482,1999,2018,"County: Burundi
Range: 1999-2018
Region: SSA
",1,1
BEL,N,income,OHI,Belgium,High income,Other High Income countries,0.28156335714285713,0.2737232,1999,2018,"County: Belgium
Range: 1999-2018
Region: OHI
",1,1
BEN,N,consumption,SSA,Benin,Low income,Sub-saharan Africa,0.385782,0.4775591,1999,2018,"County: Benin
Range: 1999-2018
Region: SSA
",1,1
BFA,N,consumption,SSA,Burkina Faso,Low income,Sub-saharan Africa,0.44589419090909094,0.3530123,1999,2018,"County: Burkina Faso
Range: 1999-2018
Region: SSA
",1,1
BGD,N,consumption,SAS,Bangladesh,Lower middle income,South Asia,0.3137009,0.3238527,1999,2018,"County: Bangladesh
Range: 1999-2018
Region: SAS
",1,1
BGR,N,income,ECA,Bulgaria,Upper middle income,Europe and Central Asia,0.3357313,0.4037905,2008,2018,"County: Bulgaria
Range: 2008-2018
Region: ECA
",1,1
BIH,N,consumption,ECA,Bosnia and Herzegovina,Upper middle income,Europe and Central Asia,0.2996645,0.3303019,1999,2018,"County: Bosnia and Herzegovina
Range: 1999-2018
Region: ECA
",1,1
BLR,N,consumption,ECA,Belarus,Upper middle income,Europe and Central Asia,0.3173815,0.2524053,1999,2018,"County: Belarus
Range: 1999-2018
Region: ECA
",1,1
BOL,N,income,LAC,Bolivia,Lower middle income,Latin America and the Caribbean,0.5809705,0.4219057,1999,2018,"County: Bolivia
Range: 1999-2018
Region: LAC
",1,1
BRA,N,income,LAC,Brazil,Upper middle income,Latin America and the Caribbean,0.5899159,0.5387844,1999,2018,"County: Brazil
Range: 1999-2018
Region: LAC
",1,1
BTN,N,consumption,SAS,Bhutan,Lower middle income,South Asia,0.40898,0.3744141,1999,2018,"County: Bhutan
Range: 1999-2018
Region: SAS
",1,1
BWA,N,consumption,SSA,Botswana,Upper middle income,Sub-saharan Africa,0.5382075117647058,0.5332503,1999,2018,"County: Botswana
Range: 1999-2018
Region: SSA
",1,1
CAF,N,consumption,SSA,Central African Republic,Low income,Sub-saharan Africa,0.5878368,0.5623661,1999,2018,"County: Central African Republic
Range: 1999-2018
Region: SSA
",1,1
CAN,N,income,OHI,Canada,High income,Other High Income countries,0.32579370869565216,0.3379898,1999,2018,"County: Canada
Range: 1999-2018
Region: OHI
",1,1
CHE,N,income,OHI,Switzerland,High income,Other High Income countries,0.3230396428571429,0.3267633,1999,2018,"County: Switzerland
Range: 1999-2018
Region: OHI
",1,1
CHL,N,income,LAC,Chile,High income,Latin America and the Caribbean,0.53108614,0.4444094,1999,2018,"County: Chile
Range: 1999-2018
Region: LAC
",1,1
CHN,R,consumption,EAP,China,Upper middle income,East Asia and Pacific,0.3538942,0.3317984,1999,2018,"County: China
Range: 1999-2018
Region: EAP
",1,1
CHN,U,consumption,EAP,China,Upper middle income,East Asia and Pacific,0.3154756,0.3612483,1999,2018,"County: China
Range: 1999-2018
Region: EAP
",1,1
CIV,N,consumption,SSA,Cote d'Ivoire,Lower middle income,Sub-saharan Africa,0.42037745,0.414748,1999,2018,"County: Cote d'Ivoire
Range: 1999-2018
Region: SSA
",1,1
CMR,N,consumption,SSA,Cameroon,Lower middle income,Sub-saharan Africa,0.4479319842105263,0.4664087,1999,2018,"County: Cameroon
Range: 1999-2018
Region: SSA
",1,1
COD,N,consumption,SSA,"Congo, Democratic Republic of",Low income,Sub-saharan Africa,0.4216363,0.4209971,1999,2018,"County: Congo, Democratic Republic of
Range: 1999-2018
Region: SSA
",1,1
COG,N,consumption,SSA,"Congo, Republic of",Lower middle income,Sub-saharan Africa,0.4733054,0.4893867,1999,2018,"County: Congo, Republic of
Range: 1999-2018
Region: SSA
",1,1
COL,N,income,LAC,Colombia,Upper middle income,Latin America and the Caribbean,0.5873956,0.504187,1999,2018,"County: Colombia
Range: 1999-2018
Region: LAC
",1,1
COM,N,consumption,SSA,Comoros,Low income,Sub-saharan Africa,0.5592516,0.4533459,1999,2018,"County: Comoros
Range: 1999-2018
Region: SSA
",1,1
CPV,N,consumption,SSA,Cabo Verde,Lower middle income,Sub-saharan Africa,0.524963,0.4238109,1999,2018,"County: Cabo Verde
Range: 1999-2018
Region: SSA
",1,1
CRI,N,income,LAC,Costa Rica,Upper middle income,Latin America and the Caribbean,0.4766533,0.4796122,1999,2018,"County: Costa Rica
Range: 1999-2018
Region: LAC
",1,1
CYP,N,income,OHI,Cyprus,High income,Other High Income countries,0.300894,0.3141623,1999,2018,"County: Cyprus
Range: 1999-2018
Region: OHI
",1,1
CZE,N,income,ECA,Czech Republic,High income,Europe and Central Asia,0.26177055,0.2485221,1999,2018,"County: Czech Republic
Range: 1999-2018
Region: ECA
",1,1
DEU,N,income,OHI,Germany,High income,Other High Income countries,0.29739315,0.3187067,1999,2018,"County: Germany
Range: 1999-2018
Region: OHI
",1,1
DJI,N,consumption,MNA,Djibouti,Lower middle income,Middle East and North Africa,0.3999784,0.4158799,1999,2018,"County: Djibouti
Range: 1999-2018
Region: MNA
",1,1
DNK,N,income,OHI,Denmark,High income,Other High Income countries,0.2553627333333333,0.2874666,1999,2018,"County: Denmark
Range: 1999-2018
Region: OHI
",1,1
DOM,N,income,LAC,Dominican Republic,Upper middle income,Latin America and the Caribbean,0.4855598,0.4368672,1999,2018,"County: Dominican Republic
Range: 1999-2018
Region: LAC
",1,1
DZA,N,consumption,MNA,Algeria,Upper middle income,Middle East and North Africa,0.341569036,0.2761573,1999,2018,"County: Algeria
Range: 1999-2018
Region: MNA
",1,1
ECU,N,income,LAC,Ecuador,Upper middle income,Latin America and the Caribbean,0.5860199,0.4544,1999,2018,"County: Ecuador
Range: 1999-2018
Region: LAC
",1,1
EGY,N,consumption,MNA,"Egypt, Arab Republic of",Lower middle income,Middle East and North Africa,0.3192654857142857,0.3153395,1999,2018,"County: Egypt, Arab Republic of
Range: 1999-2018
Region: MNA
",1,1
ESP,N,income,OHI,Spain,High income,Other High Income countries,0.3227088,0.3465455,1999,2018,"County: Spain
Range: 1999-2018
Region: OHI
",1,1
EST,N,income,ECA,Estonia,High income,Europe and Central Asia,0.3344894,0.3035503,2005,2018,"County: Estonia
Range: 2005-2018
Region: ECA
",1,1
ETH,N,consumption,SSA,Ethiopia,Low income,Sub-saharan Africa,0.422673764,0.3499312,1999,2018,"County: Ethiopia
Range: 1999-2018
Region: SSA
",1,1
FIN,N,income,OHI,Finland,High income,Other High Income countries,0.25803526666666665,0.2738309,1999,2018,"County: Finland
Range: 1999-2018
Region: OHI
",1,1
FJI,N,consumption,EAP,Fiji,Upper middle income,East Asia and Pacific,0.3810205,0.366966,1999,2018,"County: Fiji
Range: 1999-2018
Region: EAP
",1,1
FRA,N,income,OHI,France,High income,Other High Income countries,0.3184085857142857,0.3163207,1999,2018,"County: France
Range: 1999-2018
Region: OHI
",1,1
FSM,N,consumption,EAP,"Micronesia, Federated States of",Lower middle income,East Asia and Pacific,0.423558,0.4005763,1999,2018,"County: Micronesia, Federated States of
Range: 1999-2018
Region: EAP
",1,1
GAB,N,consumption,SSA,Gabon,Upper middle income,Sub-saharan Africa,0.4218499,0.3802437,1999,2018,"County: Gabon
Range: 1999-2018
Region: SSA
",1,1
GBR,N,income,OHI,United Kingdom,High income,Other High Income countries,0.3696672,0.3477961,1999,2018,"County: United Kingdom
Range: 1999-2018
Region: OHI
",1,1
GEO,N,consumption,ECA,Georgia,Lower middle income,Europe and Central Asia,0.4014977,0.3641136,1999,2018,"County: Georgia
Range: 1999-2018
Region: ECA
",1,1
GHA,N,consumption,SSA,Ghana,Lower middle income,Sub-saharan Africa,0.3895456529411765,0.4352088,1999,2018,"County: Ghana
Range: 1999-2018
Region: SSA
",1,1
GIN,N,consumption,SSA,Guinea,Low income,Sub-saharan Africa,0.4147849772727273,0.337297,1999,2018,"County: Guinea
Range: 1999-2018
Region: SSA
",1,1
GMB,N,consumption,SSA,"Gambia, The",Low income,Sub-saharan Africa,0.4680119227272727,0.3591883,1999,2018,"County: Gambia, The
Range: 1999-2018
Region: SSA
",1,1
GNB,N,consumption,SSA,Guinea-Bissau,Low income,Sub-saharan Africa,0.3824991,0.5066424,1999,2018,"County: Guinea-Bissau
Range: 1999-2018
Region: SSA
",1,1
GRC,N,income,OHI,Greece,High income,Other High Income countries,0.357869,0.3435202,1999,2018,"County: Greece
Range: 1999-2018
Region: OHI
",1,1
GTM,N,income,LAC,Guatemala,Upper middle income,Latin America and the Caribbean,0.5342868548387096,0.4827859,1999,2018,"County: Guatemala
Range: 1999-2018
Region: LAC
",1,1
HND,N,income,LAC,Honduras,Lower middle income,Latin America and the Caribbean,0.5535134,0.5208153,1999,2018,"County: Honduras
Range: 1999-2018
Region: LAC
",1,1
HRV,N,income,ECA,Croatia,High income,Europe and Central Asia,0.3225743,0.3035458,2011,2018,"County: Croatia
Range: 2011-2018
Region: ECA
",2,2
HUN,N,income,ECA,Hungary,High income,Europe and Central Asia,0.2751404,0.3058412,2008,2018,"County: Hungary
Range: 2008-2018
Region: ECA
",2,2
IDN,R,consumption,EAP,Indonesia,Lower middle income,East Asia and Pacific,0.2475679,0.3244419,1999,2018,"County: Indonesia
Range: 1999-2018
Region: EAP
",1,1
IDN,U,consumption,EAP,Indonesia,Lower middle income,East Asia and Pacific,0.3537327,0.4005402,1999,2018,"County: Indonesia
Range: 1999-2018
Region: EAP
",1,1
IRL,N,income,OHI,Ireland,High income,Other High Income countries,0.34999430000000004,0.328076,1999,2018,"County: Ireland
Range: 1999-2018
Region: OHI
",1,1
IRN,N,consumption,MNA,"Iran, Islamic Republic of",Upper middle income,Middle East and North Africa,0.43577096,0.4080294,1999,2018,"County: Iran, Islamic Republic of
Range: 1999-2018
Region: MNA
",1,1
IRQ,N,consumption,MNA,Iraq,Upper middle income,Middle East and North Africa,0.2860061,0.2954186,1999,2018,"County: Iraq
Range: 1999-2018
Region: MNA
",1,1
ISL,N,income,OHI,Iceland,High income,Other High Income countries,0.2683604,0.2678797,1999,2018,"County: Iceland
Range: 1999-2018
Region: OHI
",1,1
ISR,N,income,OHI,Israel,High income,Other High Income countries,0.4178791,0.3901302,2005,2018,"County: Israel
Range: 2005-2018
Region: OHI
",1,1
ITA,N,income,OHI,Italy,High income,Other High Income countries,0.3468575,0.35928,1999,2018,"County: Italy
Range: 1999-2018
Region: OHI
",1,1
