povertyline,headcount,povertygap,population,mean,popshr,weight,welfare,cumwelf,q,countrycode,cty,n,nq
0.1,0.003119159,0.003026007,49648685,438.572,0.003119159,154862.142655915,0.00298644602599611,462.487430512,1,COL,COL,5.65,100
0.15,0.003355843,0.00308311,49648685,438.572,2.3668400000000003e-4,11751.04936054,0.13348916699058666,2031.1252209157508,1,COL,COL,5.65,100
0.175,0.003452171,0.003127556,49648685,438.572,9.632800000000013e-5,4782.558528680006,0.1650369051573779,2820.4238792231217,1,COL,COL,5.65,100
0.1875,0.003574161,0.003153381,49648685,438.572,1.219900000000002e-4,6056.64308315001,0.18106914501188714,3917.095063931254,1,COL,COL,5.65,100
0.19375,0.003589936,0.00316716,49648685,438.572,1.577499999999999e-5,783.2080058749996,0.1912266244056995,4066.8652871022496,1,COL,COL,5.65,100
0.20625,0.003698597,0.003196145,49648685,438.572,1.0866099999999991e-4,5394.875760784996,0.19986816797195056,5145.12922184663,1,COL,COL,5.65,100
0.2125,0.003725711,0.003211282,49648685,438.572,2.7113999999999958e-5,1346.1744450899978,0.209686416611336,5427.403717371305,1,COL,COL,5.65,100
0.21875,0.003776932,0.003226841,49648685,438.572,5.1221000000000166e-5,2543.0552943850084,0.2150727972901796,5974.34573319829,1,COL,COL,5.65,100
0.2375,0.003846976,0.003272549,49648685,438.572,7.004400000000001e-5,3477.5924921400006,0.2297699481754298,6773.391979892562,1,COL,COL,5.65,100
0.25,0.003999231,0.003304106,49648685,438.572,1.5225499999999958e-4,7559.260534674979,0.2453439131719816,8628.010540156247,1,COL,COL,5.65,100
0.25625,0.004044088,0.003321513,49648685,438.572,4.485700000000058e-5,2227.0910630450285,0.2536637258398893,9192.942756992968,1,COL,COL,5.65,100
0.2625,0.00411579,0.003339462,49648685,438.572,7.170199999999988e-5,3559.910011869994,0.25977317578310255,10117.7118862785,1,COL,COL,5.65,100
0.26875,0.004184983,0.003358653,49648685,438.572,6.919299999999951e-5,3435.341461204976,0.2643343618574145,11025.790679188434,1,COL,COL,5.65,100
0.275,0.004273973,0.003377845,49648685,438.572,8.89900000000006e-5,4418.23647815003,0.2737275255646716,12235.183617712011,1,COL,COL,5.65,100
0.278125,0.004300734,0.003387964,49648685,438.572,2.676099999999928e-5,1328.6484592849642,0.27760383580583475,12604.02152644703,1,COL,COL,5.65,100
0.2875,0.004461073,0.003419897,49648685,438.572,1.6033900000000066e-4,7960.620504215033,0.28361124710769026,14861.743035398506,1,COL,COL,5.65,100
0.296875,0.004563558,0.003454088,49648685,438.572,1.0248499999999938e-4,5088.245482224969,0.29307514514319066,16352.981318625772,1,COL,COL,5.65,100
0.3,0.004674872,0.003466352,49648685,438.572,1.1131400000000038e-4,5526.593722090019,0.29809452315072693,18000.428638859998,1,COL,COL,5.65,100
0.3015625,0.004682459,0.003472641,49648685,438.572,7.586999999999872e-6,376.68457309499365,0.30047985040201586,18113.61476303233,1,COL,COL,5.65,100
0.3046875,0.004716393,0.003485302,49648685,438.572,3.393400000000022e-5,1684.778476790011,0.3024193563240371,18623.124385531755,1,COL,COL,5.65,100
0.3078125,0.004746471,0.003497848,49648685,438.572,3.0078000000000223e-5,1493.333147430011,0.30732522524769257,19082.06333143553,1,COL,COL,5.65,100
0.3109375,0.004771159,0.003510592,49648685,438.572,2.4687999999999273e-5,1225.7267352799638,0.30848122063351024,19460.17701089782,1,COL,COL,5.65,100
0.3140625,0.004873229,0.003524101,49648685,438.572,1.0207000000000011e-4,5067.641277950005,0.3110900454345036,21036.669766301053,1,COL,COL,5.65,100
0.31875,0.004893502,0.003544072,49648685,438.572,2.027300000000034e-5,1006.5277910050169,0.31669215212352086,21355.429218606565,1,COL,COL,5.65,100
0.325,0.004936576,0.003570299,49648685,438.572,4.307399999999972e-5,2138.567457689986,0.3229143450805611,22046.003328617127,1,COL,COL,5.65,100
0.34375,0.005187771,0.003649723,49648685,438.572,2.5119500000000006e-4,12471.501428575004,0.33704482573299566,26249.458354239996,1,COL,COL,5.65,100
0.35,0.00525429,0.003677922,49648685,438.572,6.651900000000013e-5,3302.5808775150063,0.3461386972143277,27392.60939662799,1,COL,COL,5.65,100
0.35625,0.005312788,0.003706143,49648685,438.572,5.849799999999971e-5,2904.348775129986,0.3528066130466023,28417.28285108765,1,COL,COL,5.65,100
0.3625,0.005333413,0.003734059,49648685,438.572,2.0625000000000678e-5,1024.0041281250337,0.35871727272727155,28784.61081919013,1,COL,COL,5.65,100
0.375,0.005440375,0.003788993,49648685,438.572,1.0696199999999951e-4,5310.522644969976,0.36931269983732645,30745.85427475125,1,COL,COL,5.65,100
0.38125,0.005465623,0.003816372,49648685,438.572,2.5248000000000284e-5,1253.529998880014,0.376611761327618,31217.94841550646,1,COL,COL,5.65,100
0.39375,0.005501753,0.003869259,49648685,438.572,3.612999999999967e-5,1793.8069890499835,0.3879758856905705,31913.902270841063,1,COL,COL,5.65,100
0.40625,0.005599097,0.003921657,49648685,438.572,9.734400000000008e-5,4833.001592640004,0.39720462997205686,33833.5928801,1,COL,COL,5.65,100
0.41875,0.005831863,0.003974873,49648685,438.572,2.327659999999997e-4,11556.525812709986,0.4130953940867665,38607.54046497532,1,COL,COL,5.65,100
0.425,0.005886961,0.004002325,49648685,438.572,5.509799999999995e-5,2735.5432461299974,0.4238944698537111,39767.12211905549,1,COL,COL,5.65,100
0.43125,0.006002546,0.004030462,49648685,438.572,1.1558500000000051e-4,5738.6432557250255,0.428177747977676,42224.28146473911,1,COL,COL,5.65,100
0.4375,0.006105714,0.004059082,49648685,438.572,1.0316799999999984e-4,5122.155534079992,0.4356028516594296,44455.50702202749,1,COL,COL,5.65,100
0.44375,0.006241241,0.004088786,49648685,438.572,1.3552699999999987e-4,6728.737331994994,0.44087455820611804,47422.03612055579,1,COL,COL,5.65,100
0.446875,0.006248392,0.004103855,49648685,438.572,7.151000000000379e-6,355.03774643501885,0.4458209516150985,47580.31938653073,1,COL,COL,5.65,100
