countrycode,year,percentile_value,coverage,percentile,datatype,decile_within_percentile,countryname,region
GIN,1990,0.117976,N,10,consumption,1,Guinea,SSA
CAF,1990,0.1322161,N,10,consumption,1,Central African Republic,SSA
ZMB,1990,0.1334733,N,10,consumption,1,Zambia,SSA
SWZ,1990,0.1889398,N,10,consumption,1,Eswatini,SSA
PAN,1990,0.1935125,N,10,income,1,Panama,LAC
MOZ,1990,0.2709945,N,10,consumption,1,Mozambique,SSA
MLI,1990,0.2749554,N,10,consumption,1,Mali,SSA
MMR,1990,0.3431611,N,10,consumption,1,Myanmar,EAP
SEN,1990,0.3690253,N,10,consumption,1,Senegal,SSA
BFA,1990,0.3715021,N,10,consumption,1,Burkina Faso,SSA
GNB,1990,0.3806054,N,10,consumption,1,Guinea-Bissau,SSA
HTI,1990,0.3817459,N,10,income,1,Haiti,LAC
GMB,1990,0.4478373,N,10,consumption,1,Gambia,SSA
NAM,1990,0.470169,N,10,income,1,Namibia,SSA
RWA,1990,0.496374,N,10,consumption,1,Rwanda,SSA
PNG,1990,0.5019053,N,10,consumption,1,Papua New Guinea,EAP
COD,1990,0.5144837,N,10,consumption,2,Congo,SSA
HND,1990,0.5267848,N,10,income,2,Honduras,LAC
LSO,1990,0.5369957,N,10,consumption,2,Lesotho,SSA
BDI,1990,0.5541999,N,10,consumption,2,Burundi,SSA
MDG,1990,0.5790792,N,10,consumption,2,Madagascar,SSA
GTM,1990,0.5792964,N,10,income,2,Guatemala,LAC
UGA,1990,0.589558,N,10,consumption,2,Uganda,SSA
TCD,1990,0.6110795,N,10,consumption,2,Chad,SSA
TZA,1990,0.6211661,N,10,consumption,2,Tanzania,SSA
MWI,1990,0.6330174,N,10,consumption,2,Malawi,SSA
CPV,1990,0.6359095,N,10,consumption,2,Cabo Verde,SSA
MRT,1990,0.6477121,N,10,consumption,2,Mauritania,SSA
NER,1990,0.6845343,N,10,consumption,2,Niger,SSA
NPL,1990,0.6858008,N,10,consumption,2,Nepal,SAS
ETH,1990,0.7224591,N,10,consumption,2,Ethiopia,SSA
NGA,1990,0.726088,N,10,consumption,2,Nigeria,SSA
CHN,1990,0.7268762,A,10,consumption,2,China,EAP
CHN,1990,0.7268762,R,10,consumption,3,China,EAP
COG,1990,0.7352137,N,10,consumption,3,Congo,SSA
LBR,1990,0.7711649,N,10,consumption,3,Liberia,SSA
BEN,1990,0.7869357,N,10,consumption,3,Benin,SSA
AGO,1990,0.8021143,N,10,consumption,3,Angola,SSA
SDN,1990,0.8344235,N,10,consumption,3,Sudan,SSA
LCA,1990,0.8427409,N,10,income,3,St. Lucia,LAC
VNM,1990,0.8571088,N,10,consumption,3,Vietnam,EAP
TGO,1990,0.8754123,N,10,consumption,3,Togo,SSA
UZB,1990,0.90164010000000006,N,10,consumption,3,Uzbekistan,ECA
SLB,1990,0.9245944,N,10,consumption,3,Solomon Islands,EAP
IDN,1990,0.9284436,A,10,consumption,3,Indonesia,EAP
