year,countrycode,countryname,region,incomegroup,value,growth,time_span
2016,AFG,Afghanistan,,Low income,8.523166172,15.904060212425941,1
2017,AFG,Afghanistan,,Low income,9.878695652,15.904060212425941,1
2011,AGO,Angola,SSA,Lower middle income,17.88318579,0.7510018105006733,6
2017,AGO,Angola,SSA,Lower middle income,18.70428571,0.7510018105006733,6
2011,ALB,Albania,ECA,Upper middle income,7.879970324,1.0375021525740546,6
2017,ALB,Albania,ECA,Upper middle income,8.3834,1.0375021525740546,6
2011,ARM,Armenia,ECA,Upper middle income,1.831746032,13.747522448459826,6
2017,ARM,Armenia,ECA,Upper middle income,3.9675,13.747522448459826,6
2011,AZE,Azerbaijan,ECA,Upper middle income,2.343209877,-12.661909682210993,6
2017,AZE,Azerbaijan,ECA,Upper middle income,1.04,-12.661909682210993,6
2016,BEN,Benin,SSA,Low income,10.06926121,81.74123819358144,1
2017,BEN,Benin,SSA,Low income,18.3,81.74123819358144,1
2011,BGD,Bangladesh,SAS,Lower middle income,3.972120294,1.8038257561793225,6
2017,BGD,Bangladesh,SAS,Lower middle income,4.421880342,1.8038257561793225,6
2011,BGR,Bulgaria,ECA,Upper middle income,9.096905956,-1.7608385685070838,6
2017,BGR,Bulgaria,ECA,Upper middle income,8.177142857,-1.7608385685070838,6
2011,BIH,Bosnia and Herzegovina,ECA,Upper middle income,13.92933837,-11.934810992157397,6
2017,BIH,Bosnia and Herzegovina,ECA,Upper middle income,6.497647059,-11.934810992157397,6
2011,BLR,Belarus,ECA,Upper middle income,2.403968254,-9.31373542294559,6
2017,BLR,Belarus,ECA,Upper middle income,1.337142857,-9.31373542294559,6
2011,BOL,Bolivia,LAC,Lower middle income,11.51758389,-15.830760141790979,6
2017,BOL,Bolivia,LAC,Lower middle income,4.095263158,-15.830760141790979,6
2011,BRA,Brazil,LAC,Upper middle income,13.41871797,-11.770943344694551,6
2017,BRA,Brazil,LAC,Upper middle income,6.329666667,-11.770943344694551,6
2011,BWA,Botswana,SSA,Upper middle income,19.57251264,-0.3663156147949542,6
2017,BWA,Botswana,SSA,Upper middle income,19.14625,-0.3663156147949542,6
2011,CHN,China,EAP,Upper middle income,11.92306123,-2.8916639536609945,6
2017,CHN,China,EAP,Upper middle income,9.998315789,-2.8916639536609945,6
2011,CIV,Cote d'Ivoire,SSA,Lower middle income,12.0289916,-12.174969486560794,6
2017,CIV,Cote d'Ivoire,SSA,Lower middle income,5.52,-12.174969486560794,6
2016,CMR,Cameroon,SSA,Lower middle income,4.446428571,-0.9442213302114921,1
2017,CMR,Cameroon,SSA,Lower middle income,4.404444444,-0.9442213302114921,1
2011,COD,"Congo, Dem. Rep.",SSA,Low income,8.849808448,-0.3319559481865464,6
2017,COD,"Congo, Dem. Rep.",SSA,Low income,8.675,-0.3319559481865464,6
2011,COL,Colombia,LAC,Upper middle income,6.691249482,-3.6434663799606803,6
2017,COL,Colombia,LAC,Upper middle income,5.355428571,-3.6434663799606803,6
2016,COM,Comoros,SSA,Low income,5.936949412,-19.337549359600303,1
2017,COM,Comoros,SSA,Low income,4.788888889,-19.337549359600303,1
2011,CPV,Cabo Verde,SSA,Lower middle income,9.499669948,1.1110001588553686,6
2017,CPV,Cabo Verde,SSA,Lower middle income,10.15076923,1.1110001588553686,6
2016,CRI,Costa Rica,LAC,Upper middle income,5.610940427,1.8323055526534793,1
2017,CRI,Costa Rica,LAC,Upper middle income,5.71375,1.8323055526534793,1
2016,CUB,Cuba,,Low income,5.166666667,112.90322579271592,1
2017,CUB,Cuba,,Low income,11,112.90322579271592,1
2011,DOM,Dominican Republic,LAC,Upper middle income,5.777934469,2.8259771988191185,6
2017,DOM,Dominican Republic,LAC,Upper middle income,6.829512195,2.8259771988191185,6
2011,DZA,Algeria,MNA,Upper middle income,14.08476311,-8.51878853356267,6
2017,DZA,Algeria,MNA,Upper middle income,8.255454545,-8.51878853356267,6
2011,ECU,Ecuador,LAC,Upper middle income,4.599934371,-2.213761844204587,6
2017,ECU,Ecuador,LAC,Upper middle income,4.021777778,-2.213761844204587,6
2011,EGY,"Egypt, Arab Rep.",MNA,Lower middle income,4.152018782,4.136254443834453,6
2017,EGY,"Egypt, Arab Rep.",MNA,Lower middle income,5.295061728,4.136254443834453,6
2011,ERI,Eritrea,,Low income,12.10544973,-0.8982546141922065,6
2017,ERI,Eritrea,,Low income,11.4675,-0.8982546141922065,6
2011,EST,Estonia,ECA,High income,4.621428571,5.52144723487451,6
2017,EST,Estonia,ECA,High income,6.38,5.52144723487451,6
2011,ETH,Ethiopia,SSA,Low income,9.293319323,-5.841764979120034,6
2017,ETH,Ethiopia,SSA,Low income,6.476206897,-5.841764979120034,6
2011,FJI,Fiji,EAP,Upper middle income,13.37213307,-6.536667253471307,6
2017,FJI,Fiji,EAP,Upper middle income,8.9135,-6.536667253471307,6
2011,GEO,Georgia,ECA,Lower middle income,2.6301587299999998,-10.63095030263641,6
2017,GEO,Georgia,ECA,Lower middle income,1.34,-10.63095030263641,6
2011,GHA,Ghana,SSA,Lower middle income,11.603803,-7.667102688967309,6
2017,GHA,Ghana,SSA,Lower middle income,7.190169492,-7.667102688967309,6
2011,GMB,"Gambia, The",SSA,Low income,9.406178523,0.5433066836492362,6
2017,GMB,"Gambia, The",SSA,Low income,9.717,0.5433066836492362,6
2011,GTM,Guatemala,LAC,Upper middle income,5.51658046,-1.6622431924237069,6
2017,GTM,Guatemala,LAC,Upper middle income,4.98875,-1.6622431924237069,6
2011,GUY,Guyana,LAC,Upper middle income,7.2805613,2.5574780512026107,6
2017,GUY,Guyana,LAC,Upper middle income,8.471666667,2.5574780512026107,6
2011,HND,Honduras,LAC,Lower middle income,5.142758066,-3.3470528334960115,6
2017,HND,Honduras,LAC,Lower middle income,4.192631579,-3.3470528334960115,6
2011,HRV,Croatia,ECA,High income,20.62964235,-18.029733674499827,6
2017,HRV,Croatia,ECA,High income,6.257916667,-18.029733674499827,6
2011,HTI,Haiti,LAC,Low income,10.82691474,-4.742502816923833,6
2017,HTI,Haiti,LAC,Low income,8.089090909,-4.742502816923833,6
2012,HUN,Hungary,ECA,High income,9.969325697,-4.119908468136746,5
2017,HUN,Hungary,ECA,High income,8.078076923,-4.119908468136746,5
2011,IDN,Indonesia,EAP,Lower middle income,5.941023523,3.0941339664982914,6
2017,IDN,Indonesia,EAP,Lower middle income,7.132881356,3.0941339664982914,6
2011,IND,India,SAS,Lower middle income,6.962185361,-2.5161239442268,6
2017,IND,India,SAS,Lower middle income,5.975060606,-2.5161239442268,6
2011,JAM,Jamaica,LAC,Upper middle income,8.943344399,-0.1028890935575455,6
2017,JAM,Jamaica,LAC,Upper middle income,8.888275862,-0.1028890935575455,6
2011,JOR,Jordan,MNA,Upper middle income,5.311930952,1.1921682571349068,6
2017,JOR,Jordan,MNA,Upper middle income,5.7034,1.1921682571349068,6
2011,KAZ,Kazakhstan,ECA,Upper middle income,2.282363316,-8.493206666291664,6
2017,KAZ,Kazakhstan,ECA,Upper middle income,1.34,-8.493206666291664,6
2011,KEN,Kenya,SSA,Lower middle income,13.10235864,-8.03625276184665,6
2017,KEN,Kenya,SSA,Lower middle income,7.925915493,-8.03625276184665,6
2011,KGZ,Kyrgyz Republic,ECA,Lower middle income,2.21978022,10.343191049547752,6
2017,KGZ,Kyrgyz Republic,ECA,Lower middle income,4.006666667,10.343191049547752,6
2016,KHM,Cambodia,,Lower middle income,13.56349966,11.066803020069527,1
2017,KHM,Cambodia,,Lower middle income,15.06454545,11.066803020069527,1
2011,KIR,Kiribati,EAP,Lower middle income,11.98432805,,
2016,LAO,Lao PDR,EAP,Lower middle income,13.88852875,17.52304735661796,1
2017,LAO,Lao PDR,EAP,Lower middle income,16.32222222,17.52304735661796,1
2011,LBN,Lebanon,MNA,Upper middle income,13.56729865,-2.4972908093802593,6
2017,LBN,Lebanon,MNA,Upper middle income,11.65717949,-2.4972908093802593,6
2012,LBR,Liberia,SSA,Low income,5.047,1.8657231057066737,5
2017,LBR,Liberia,SSA,Low income,5.535714286,1.8657231057066737,5
