countrycode,year,percentile,headcount,share_income,welfare,cumm_income
BRA,2017,1,0.01000237,4.2806853289573663e-4,1.7966226564549423,<= 20%
BRA,2017,2,0.02000138,7.663673335636205e-4,3.2164777572723935,<= 20%
BRA,2017,3,0.03000552,9.966604875688892e-4,4.183028359143213,<= 20%
BRA,2017,4,0.04000157,0.0012641651358814517,5.305757256346271,<= 20%
BRA,2017,5,0.04999279,0.0015925135313000788,6.683850064124357,<= 20%
BRA,2017,6,0.06003001,0.0018673755965665619,7.8374583672556675,<= 20%
BRA,2017,7,0.07000013,0.002037464981507071,8.551331074832227,<= 20%
BRA,2017,8,0.0799987,0.002234949162669385,9.380180959610103,<= 20%
BRA,2017,9,0.09001168,0.002505969580182987,10.517665696395026,<= 20%
BRA,2017,10,0.09999823,0.0025283071695949254,10.611417551866849,<= 20%
BRA,2017,11,0.1100031,0.002740970394057074,11.503974555949464,<= 20%
BRA,2017,12,0.1199996,0.002975231910872112,12.487180552891806,<= 20%
BRA,2017,13,0.1300249,0.0030380259759796233,12.750730034793433,<= 20%
BRA,2017,14,0.1400029,0.003144602126889039,13.198034876535338,<= 20%
BRA,2017,15,0.1500151,0.0032511782777984548,13.645339718277244,<= 20%
BRA,2017,16,0.1600182,0.003349471962586826,14.057882681626156,<= 20%
BRA,2017,17,0.1700011,0.003596843441897507,15.096111773785552,<= 20%
BRA,2017,18,0.1800125,0.003724500388002032,15.63189364981777,<= 20%
BRA,2017,19,0.1900006,0.0037860089770350366,15.890047931506556,<= 20%
BRA,2017,20,0.200001,0.003999989702505306,16.78813454587162,<= 20%
BRA,2017,21,0.210006,0.004129463945219458,17.331543696537334,<= 40%
BRA,2017,22,0.2200078,0.004334873451707293,18.193656523917614,<= 40%
BRA,2017,23,0.229999,0.004377461406193994,18.372400061559325,<= 40%
BRA,2017,24,0.2400012,0.004582876627705568,19.23453687514822,<= 40%
BRA,2017,25,0.2500034,0.004663483433223148,19.572847220170974,<= 40%
BRA,2017,26,0.2600267,0.004744090238740728,19.911157565193733,<= 40%
BRA,2017,27,0.2700042,0.004752330569330207,19.94574259888819,<= 40%
BRA,2017,28,0.2799979,0.005093816887414018,21.37897585195748,<= 40%
BRA,2017,29,0.2900011,0.005570111109165526,23.37800386774896,<= 40%
BRA,2017,30,0.3000008,0.005573557519233954,23.392468603968847,<= 40%
BRA,2017,31,0.31,0.0057989243262240725,24.338343108484167,<= 40%
BRA,2017,32,0.3199871,0.005799304109587556,24.339937076138746,<= 40%
BRA,2017,33,0.3299991,0.005799683892951039,24.341531043793328,<= 40%
BRA,2017,34,0.3400013,0.005800063676314523,24.343125011447906,<= 40%
BRA,2017,35,0.3500023,0.005800443459678006,24.344718979102485,<= 40%
BRA,2017,36,0.3599951,0.005961240891294267,25.019592945631352,<= 40%
BRA,2017,37,0.3699994,0.00608552321905495,25.54121139850228,<= 40%
BRA,2017,38,0.3800019,0.006232835546487708,26.159487783478387,<= 40%
BRA,2017,39,0.3900127,0.006711681285678367,28.169224631354552,<= 40%
BRA,2017,40,0.4000037,0.006721627672118702,28.21097005727427,<= 40%
BRA,2017,41,0.41,0.006731574058559037,28.252715483193988,<= 60%
BRA,2017,42,0.42028,0.007046138783529721,29.572957613538808,<= 60%
BRA,2017,43,0.4299988,0.007160004827422239,30.0508584601026,<= 60%
BRA,2017,44,0.4400022,0.007273870871314758,30.528759306666387,<= 60%
BRA,2017,45,0.450009,0.007355223471806782,30.87019978634093,<= 60%
BRA,2017,46,0.4600035,0.007359721791094481,30.88907943230224,<= 60%
BRA,2017,47,0.4700646,0.00736422011038218,30.90795907826355,<= 60%
BRA,2017,48,0.4800056,0.007466038666288671,31.33529608234481,<= 60%
BRA,2017,49,0.4900067,0.00800676476985257,33.60474756953489,<= 60%
BRA,2017,50,0.500002,0.008132633375909165,34.13302370290991,<= 60%
BRA,2017,51,0.5100166,0.00880697088774185,36.96324820845922,<= 60%
BRA,2017,52,0.5200034,0.008909546436786283,37.39376234638213,<= 60%
BRA,2017,53,0.5300039,0.009012121985830715,37.82427648430504,<= 60%
BRA,2017,54,0.5399997,0.009114697534875149,38.25479062222796,<= 60%
BRA,2017,55,0.5500093,0.009173261843470448,38.50058762807225,<= 60%
BRA,2017,56,0.560002,0.009231826152065747,38.74638463391655,<= 60%
BRA,2017,57,0.5699985,0.009521196034804946,39.96088289172609,<= 60%
BRA,2017,58,0.5800136,0.009539356914454337,40.03710491070638,<= 60%
BRA,2017,59,0.5900016,0.00955751779410373,40.11332692968669,<= 60%
BRA,2017,60,0.6000039,0.009575678673753122,40.18954894866699,<= 60%
BRA,2017,61,0.6100075,0.009593839553402515,40.2657709676473,<= 80%
BRA,2017,62,0.6199994,0.009612000433051906,40.341992986627595,<= 80%
BRA,2017,63,0.6300567,0.009630161312701299,40.418215005607905,<= 80%
BRA,2017,64,0.6400007,0.00964832219235069,40.4944370245882,<= 80%
BRA,2017,65,0.650003,0.009666483072000083,40.57065904356851,<= 80%
BRA,2017,66,0.6599953,0.009684643951649474,40.64688106254881,<= 80%
BRA,2017,67,0.6700017,0.01007657805470602,42.29184591111021,<= 80%
