Year,countrycode,countryname,region,incomegroup,value,value2007,growth,win,loss,initial
2007,BDI,Burundi,SSA,Low income,3.3,3.3,0.5901395027485545,0.20000000000000018,0,3.3
2017,BDI,Burundi,SSA,Low income,3.5,3.3,0.5901395027485545,0.20000000000000018,0,3.3
2007,BEN,Benin,SSA,Low income,3.3,3.3,0.29897567494807653,0.10000000000000009,0,3.3
2017,BEN,Benin,SSA,Low income,3.4,3.3,0.29897567494807653,0.10000000000000009,0,3.3
2007,BFA,Burkina Faso,SSA,Low income,3.6,3.6,0.274365436817936,0.10000000000000009,0,3.6
2017,BFA,Burkina Faso,SSA,Low income,3.7,3.6,0.274365436817936,0.10000000000000009,0,3.6
2007,BGD,Bangladesh,SAS,Lower middle income,3.6,3.6,-0.5699537041766956,0,0.20000000000000018,3.4
2017,BGD,Bangladesh,SAS,Lower middle income,3.4,3.6,-0.5699537041766956,0,0.20000000000000018,3.4
2007,BOL,Bolivia,LAC,Lower middle income,3.8,3.8,-0.3802501694357807,0,0.09999999999999964,3.7
2017,BOL,Bolivia,LAC,Lower middle income,3.7,3.8,-0.3802501694357807,0,0.09999999999999964,3.7
2007,BTN,Bhutan,SAS,Lower middle income,4.1,4.1,-0.24662151411904976,0,0.09999999999999964,4
2017,BTN,Bhutan,SAS,Lower middle income,4,4.1,-0.24662151411904976,0,0.09999999999999964,4
2007,CAF,Central African Republic,SSA,Low income,2.2,2.2,0.44550707084893837,0.09999999999999964,0,2.2
2017,CAF,Central African Republic,SSA,Low income,2.3,2.2,0.44550707084893837,0.09999999999999964,0,2.2
2007,CIV,Cote d'Ivoire,SSA,Lower middle income,2.3,2.3,3.6760900871232183,1,0,2.3
2017,CIV,Cote d'Ivoire,SSA,Lower middle income,3.3,2.3,3.6760900871232183,1,0,2.3
2007,CMR,Cameroon,SSA,Lower middle income,3.1,3.1,0,0,0,3.1
2017,CMR,Cameroon,SSA,Lower middle income,3.1,3.1,0,0,0,3.1
2007,COD,Congo Dem,SSA,Low income,2.9,2.9,0.33959082430339294,0.10000000000000009,0,2.9
2017,COD,Congo Dem,SSA,Low income,3,2.9,0.33959082430339294,0.10000000000000009,0,2.9
2007,COG,Congo,SSA,Lower middle income,2.7,2.7,0.3643385468768745,0.09999999999999964,0,2.7
2017,COG,Congo,SSA,Lower middle income,2.8,2.7,0.3643385468768745,0.09999999999999964,0,2.7
2007,COM,Comoros,SSA,Low income,2.7,2.7,0.3643385468768745,0.09999999999999964,0,2.7
2017,COM,Comoros,SSA,Low income,2.8,2.7,0.3643385468768745,0.09999999999999964,0,2.7
2007,CPV,Cabo Verde,SSA,Lower middle income,4.3,4.3,-0.9716335360416495,0,0.3999999999999999,3.9
2017,CPV,Cabo Verde,SSA,Lower middle income,3.9,4.3,-0.9716335360416495,0,0.3999999999999999,3.9
2007,DJI,Djibouti,MNA,Lower middle income,3,3,0,0,0,3
2017,DJI,Djibouti,MNA,Lower middle income,3,3,0,0,0,3
2007,ETH,Ethiopia,SSA,Low income,3.7,3.7,0,0,0,3.7
2017,ETH,Ethiopia,SSA,Low income,3.7,3.7,0,0,0,3.7
2007,GHA,Ghana,SSA,Lower middle income,3.9,3.9,-0.25941779300162615,0,0.10000000000000009,3.8
2017,GHA,Ghana,SSA,Lower middle income,3.8,3.9,-0.25941779300162615,0,0.10000000000000009,3.8
2007,GIN,Guinea,SSA,Low income,3,3,0.9576582776886999,0.2999999999999998,0,3
2017,GIN,Guinea,SSA,Low income,3.3,3,0.9576582776886999,0.2999999999999998,0,3
2007,GMB,Gambia,SSA,Low income,3.1,3.1,0.6271620466936412,0.19999999999999973,0,3.1
2017,GMB,Gambia,SSA,Low income,3.3,3.1,0.6271620466936412,0.19999999999999973,0,3.1
2007,GNB,Guinea-Bissau,SSA,Low income,2.6,2.6,-1.21853817691856,0,0.30000000000000027,2.3
2017,GNB,Guinea-Bissau,SSA,Low income,2.3,2.6,-1.21853817691856,0,0.30000000000000027,2.3
2007,GUY,Guyana,LAC,Upper middle income,3.4,3.4,-0.9194798926573045,0,0.2999999999999998,3.1
2017,GUY,Guyana,LAC,Upper middle income,3.1,3.4,-0.9194798926573045,0,0.2999999999999998,3.1
2007,HND,Honduras,LAC,Lower middle income,3.7,3.7,0.2670383848392799,0.09999999999999964,0,3.7
2017,HND,Honduras,LAC,Lower middle income,3.8,3.7,0.2670383848392799,0.09999999999999964,0,3.7
2007,HTI,Haiti,LAC,Low income,2.7,2.7,-0.3766920087185155,0,0.10000000000000009,2.6
2017,HTI,Haiti,LAC,Low income,2.6,2.7,-0.3766920087185155,0,0.10000000000000009,2.6
2007,KEN,Kenya,SSA,Lower middle income,3.2,3.2,1.4624101940841294,0.5,0,3.2
2017,KEN,Kenya,SSA,Lower middle income,3.7,3.2,1.4624101940841294,0.5,0,3.2
2007,KGZ,Kyrgyz Republic,ECA,Lower middle income,3.6,3.6,0.274365436817936,0.10000000000000009,0,3.6
2017,KGZ,Kyrgyz Republic,ECA,Lower middle income,3.7,3.6,0.274365436817936,0.10000000000000009,0,3.6
2007,KIR,Kiribati,EAP,Lower middle income,2.9,2.9,0.6691425667209261,0.20000000000000018,0,2.9
2017,KIR,Kiribati,EAP,Lower middle income,3.1,2.9,0.6691425667209261,0.20000000000000018,0,2.9
2007,LAO,Lao People's Democratic Republic,EAP,Lower middle income,3.2,3.2,0.608087609791208,0.19999999999999973,0,3.2
2017,LAO,Lao People's Democratic Republic,EAP,Lower middle income,3.4,3.2,0.608087609791208,0.19999999999999973,0,3.2
2007,LBR,Liberia,SSA,Low income,2.5,2.5,2.725369160489688,0.6000000000000001,0,2.5
2017,LBR,Liberia,SSA,Low income,3.1,2.5,2.725369160489688,0.6000000000000001,0,2.5
2007,LCA,St. Lucia,LAC,Upper middle income,3.8,3.8,0,0,0,3.8
2017,LCA,St. Lucia,LAC,Upper middle income,3.8,3.8,0,0,0,3.8
2007,LKA,Sri Lanka,SAS,Lower middle income,3.7,3.7,-0.34190135899326846,0,0.10000000000000009,3.6
2017,LKA,Sri Lanka,SAS,Lower middle income,3.6,3.7,-0.34190135899326846,0,0.10000000000000009,3.6
2007,LSO,Lesotho,SSA,Lower middle income,3.4,3.4,0,0,0,3.4
2017,LSO,Lesotho,SSA,Lower middle income,3.4,3.4,0,0,0,3.4
2007,MDA,Moldova,ECA,Lower middle income,3.9,3.9,0,0,0,3.9
2017,MDA,Moldova,ECA,Lower middle income,3.9,3.9,0,0,0,3.9
2007,MDG,Madagascar,SSA,Low income,3.7,3.7,-1.137583536327269,0,0.40000000000000036,3.3
2017,MDG,Madagascar,SSA,Low income,3.3,3.7,-1.137583536327269,0,0.40000000000000036,3.3
2007,MDV,Maldives,SAS,Upper middle income,3.9,3.9,-1.0763018194476892,0,0.3999999999999999,3.5
2017,MDV,Maldives,SAS,Upper middle income,3.5,3.9,-1.0763018194476892,0,0.3999999999999999,3.5
2007,MLI,Mali,SSA,Low income,3.5,3.5,-1.2062740420394125,0,0.3999999999999999,3.1
2017,MLI,Mali,SSA,Low income,3.1,3.5,-1.2062740420394125,0,0.3999999999999999,3.1
2007,MNG,Mongolia,EAP,Lower middle income,3.4,3.4,0.849158953906759,0.30000000000000027,0,3.4
2017,MNG,Mongolia,EAP,Lower middle income,3.7,3.4,0.849158953906759,0.30000000000000027,0,3.4
2007,MOZ,Mozambique,SSA,Low income,3.3,3.3,0.29897567494807653,0.10000000000000009,0,3.3
2017,MOZ,Mozambique,SSA,Low income,3.4,3.3,0.29897567494807653,0.10000000000000009,0,3.3
2007,MRT,Mauritania,SSA,Lower middle income,3.5,3.5,0.28210594169006953,0.10000000000000009,0,3.5
2017,MRT,Mauritania,SSA,Lower middle income,3.6,3.5,0.28210594169006953,0.10000000000000009,0,3.5
2007,MWI,Malawi,SSA,Low income,3.4,3.4,0.573220797344276,0.20000000000000018,0,3.4
2017,MWI,Malawi,SSA,Low income,3.6,3.4,0.573220797344276,0.20000000000000018,0,3.4
2007,NER,Niger,SSA,Low income,3,3,0.6474723092555479,0.20000000000000018,0,3
2017,NER,Niger,SSA,Low income,3.2,3,0.6474723092555479,0.20000000000000018,0,3
2007,NGA,Nigeria,SSA,Lower middle income,3.2,3.2,0.900148776907117,0.2999999999999998,0,3.2
2017,NGA,Nigeria,SSA,Lower middle income,3.5,3.2,0.900148776907117,0.2999999999999998,0,3.2
2007,NIC,Nicaragua,LAC,Lower middle income,3.6,3.6,0,0,0,3.6
2017,NIC,Nicaragua,LAC,Lower middle income,3.6,3.6,0,0,0,3.6
2007,NPL,Nepal,SAS,Low income,3.4,3.4,1.1184649191012808,0.3999999999999999,0,3.4
2017,NPL,Nepal,SAS,Low income,3.8,3.4,1.1184649191012808,0.3999999999999999,0,3.4
2007,PAK,Pakistan,SAS,Lower middle income,3.1,3.1,0.3179915068592054,0.10000000000000009,0,3.1
2017,PAK,Pakistan,SAS,Lower middle income,3.2,3.1,0.3179915068592054,0.10000000000000009,0,3.1
2007,PNG,Papua New Guinea,EAP,Lower middle income,2.7,2.7,-0.3766920087185155,0,0.10000000000000009,2.6
2017,PNG,Papua New Guinea,EAP,Lower middle income,2.6,2.7,-0.3766920087185155,0,0.10000000000000009,2.6
2007,RWA,Rwanda,SSA,Low income,3.8,3.8,1.2438113434546372,0.5,0,3.8
2017,RWA,Rwanda,SSA,Low income,4.3,3.8,1.2438113434546372,0.5,0,3.8
2007,SDN,Sudan,SSA,Lower middle income,2.4,2.4,0.4090542977657208,0.10000000000000009,0,2.4
2017,SDN,Sudan,SSA,Lower middle income,2.5,2.4,0.4090542977657208,0.10000000000000009,0,2.4
2007,SEN,Senegal,SSA,Low income,3.4,3.4,0.849158953906759,0.30000000000000027,0,3.4
2017,SEN,Senegal,SSA,Low income,3.7,3.4,0.849158953906759,0.30000000000000027,0,3.4
2007,SLB,Solomon Islands,EAP,Lower middle income,2.6,2.6,0.37811634276536665,0.10000000000000009,0,2.6
2017,SLB,Solomon Islands,EAP,Lower middle income,2.7,2.6,0.37811634276536665,0.10000000000000009,0,2.6
2007,SLE,Sierra Leone,SSA,Low income,2.9,2.9,0.9892618901110817,0.30000000000000027,0,2.9
2017,SLE,Sierra Leone,SSA,Low income,3.2,2.9,0.9892618901110817,0.30000000000000027,0,2.9
2007,STP,Sao Tome and Principe,SSA,Lower middle income,2.8,2.8,1.0230244203375705,0.30000000000000027,0,2.8
2017,STP,Sao Tome and Principe,SSA,Lower middle income,3.1,2.8,1.0230244203375705,0.30000000000000027,0,2.8
2007,TCD,Chad,SSA,Low income,2.6,2.6,0,0,0,2.6
2017,TCD,Chad,SSA,Low income,2.6,2.6,0,0,0,2.6
2007,TGO,Togo,SSA,Low income,2.6,2.6,2.718946581592463,0.7999999999999998,0,2.6
2017,TGO,Togo,SSA,Low income,3.4,2.6,2.718946581592463,0.7999999999999998,0,2.6
2007,TJK,Tajikistan,ECA,Low income,3.2,3.2,0.608087609791208,0.19999999999999973,0,3.2
2017,TJK,Tajikistan,ECA,Low income,3.4,3.2,0.608087609791208,0.19999999999999973,0,3.2
2007,TLS,Timor-Leste,EAP,Lower middle income,2.7,2.7,0.7171489240829665,0.19999999999999973,0,2.7
2017,TLS,Timor-Leste,EAP,Lower middle income,2.9,2.7,0.7171489240829665,0.19999999999999973,0,2.7
2007,TON,Tonga,EAP,Upper middle income,3.2,3.2,-0.31698352616785774,0,0.10000000000000009,3.1
2017,TON,Tonga,EAP,Upper middle income,3.1,3.2,-0.31698352616785774,0,0.10000000000000009,3.1
2007,TZA,Tanzania,SSA,Low income,3.8,3.8,-0.26632718901533625,0,0.09999999999999964,3.7
2017,TZA,Tanzania,SSA,Low income,3.7,3.8,-0.26632718901533625,0,0.09999999999999964,3.7
2007,UGA,Uganda,SSA,Low income,3.9,3.9,-1.0763018194476892,0,0.3999999999999999,3.5
2017,UGA,Uganda,SSA,Low income,3.5,3.9,-1.0763018194476892,0,0.3999999999999999,3.5
2007,UZB,Uzbekistan,ECA,Lower middle income,3.7,3.7,0,0,0,3.7
2017,UZB,Uzbekistan,ECA,Lower middle income,3.7,3.7,0,0,0,3.7
2007,VNM,Vietnam,EAP,Lower middle income,4,4,0.30913449559994977,0.09999999999999964,0,4
2017,VNM,Vietnam,EAP,Lower middle income,4.1,4,0.30913449559994977,0.09999999999999964,0,4
2007,VUT,Vanuatu,EAP,Lower middle income,2.9,2.9,0.9892618901110817,0.30000000000000027,0,2.9
2017,VUT,Vanuatu,EAP,Lower middle income,3.2,2.9,0.9892618901110817,0.30000000000000027,0,2.9
2007,WSM,Samoa,EAP,Upper middle income,3.8,3.8,0.2600925192749015,0.10000000000000009,0,3.8
2017,WSM,Samoa,EAP,Upper middle income,3.9,3.8,0.2600925192749015,0.10000000000000009,0,3.8
2007,XKX,Kosovo,ECA,Lower middle income,3.2,3.2,0.38538644443533165,0.09999999999999964,0,3.2
