Time,Country,Series,Scale,Data
YR2007,AFG,SI.POV.NAHC,0,33.7
YR2011,AFG,SI.POV.NAHC,0,38.3
YR2016,AFG,SI.POV.NAHC,0,54.5
YR2007,AFG,SI.POV.NAHC.NC,0,33.7
YR2011,AFG,SI.POV.NAHC.NC,0,38.3
YR2016,AFG,SI.POV.NAHC.NC,0,54.5
YR2008,AGO,SI.POV.NAHC,0,36.6
YR2008,AGO,SI.POV.NAHC.NC,0,36.6
YR2002,ALB,SI.POV.NAHC,0,25.4
YR2005,ALB,SI.POV.NAHC,0,18.5
YR2008,ALB,SI.POV.NAHC,0,12.4
YR2012,ALB,SI.POV.NAHC,0,14.3
YR2002,ALB,SI.POV.NAHC.NC,0,25.4
YR2005,ALB,SI.POV.NAHC.NC,0,18.5
YR2008,ALB,SI.POV.NAHC.NC,0,12.4
YR2012,ALB,SI.POV.NAHC.NC,0,14.3
YR2016,ARG,SI.POV.NAHC,0,30.3
YR2017,ARG,SI.POV.NAHC,0,25.7
YR2018,ARG,SI.POV.NAHC,0,32
YR2016,ARG,SI.POV.NAHC.NC,0,30.3
YR2017,ARG,SI.POV.NAHC.NC,0,25.7
YR2018,ARG,SI.POV.NAHC.NC,0,32
YR2004,ARM,SI.POV.NAHC,0,53.5
YR2005,ARM,SI.POV.NAHC,0,40.1
YR2006,ARM,SI.POV.NAHC,0,30.2
YR2007,ARM,SI.POV.NAHC,0,26.4
YR2008,ARM,SI.POV.NAHC,0,27.6
YR2009,ARM,SI.POV.NAHC,0,34.1
YR2010,ARM,SI.POV.NAHC,0,35.8
YR2011,ARM,SI.POV.NAHC,0,35
YR2012,ARM,SI.POV.NAHC,0,32.4
YR2013,ARM,SI.POV.NAHC,0,32
YR2014,ARM,SI.POV.NAHC,0,30
YR2015,ARM,SI.POV.NAHC,0,29.8
YR2016,ARM,SI.POV.NAHC,0,29.4
YR2017,ARM,SI.POV.NAHC,0,25.7
YR2018,ARM,SI.POV.NAHC,0,23.5
YR2004,ARM,SI.POV.NAHC.NC,0,53.5
YR2005,ARM,SI.POV.NAHC.NC,0,40.1
YR2006,ARM,SI.POV.NAHC.NC,0,30.2
YR2007,ARM,SI.POV.NAHC.NC,0,26.4
YR2008,ARM,SI.POV.NAHC.NC,0,27.6
YR2009,ARM,SI.POV.NAHC.NC,0,34.1
YR2010,ARM,SI.POV.NAHC.NC,0,35.8
YR2011,ARM,SI.POV.NAHC.NC,0,35
YR2012,ARM,SI.POV.NAHC.NC,0,32.4
YR2013,ARM,SI.POV.NAHC.NC,0,32
YR2014,ARM,SI.POV.NAHC.NC,0,30
YR2015,ARM,SI.POV.NAHC.NC,0,29.8
YR2016,ARM,SI.POV.NAHC.NC,0,29.4
YR2017,ARM,SI.POV.NAHC.NC,0,25.7
YR2018,ARM,SI.POV.NAHC.NC,0,23.5
YR2001,AZE,SI.POV.NAHC,0,49.6
YR2007,AZE,SI.POV.NAHC,0,15.8
YR2008,AZE,SI.POV.NAHC,0,13.2
YR2009,AZE,SI.POV.NAHC,0,10.9
YR2010,AZE,SI.POV.NAHC,0,9.1
YR2011,AZE,SI.POV.NAHC,0,7.6
YR2012,AZE,SI.POV.NAHC,0,6
YR2001,AZE,SI.POV.NAHC.NC,0,49.6
YR2007,AZE,SI.POV.NAHC.NC,0,15.8
YR2008,AZE,SI.POV.NAHC.NC,0,13.2
YR2009,AZE,SI.POV.NAHC.NC,0,10.9
YR2010,AZE,SI.POV.NAHC.NC,0,9.1
YR2011,AZE,SI.POV.NAHC.NC,0,7.6
YR2012,AZE,SI.POV.NAHC.NC,0,6
YR1998,BDI,SI.POV.NAHC,0,
YR2006,BDI,SI.POV.NAHC,0,67.1
YR2013,BDI,SI.POV.NAHC,0,64.9
YR1998,BDI,SI.POV.NAHC.NC,0,81
